,date,away_team,away_odds_ml,home_team,home_odds_ml,year,exp_win_away,exp_win_home,exp_value_away,exp_value_home,result,bet,return,expected_return,prediction_correct,exp_win_away_recent,exp_win_home_recent,exp_value_away_recent,exp_value_home_recent,bet_recent,return_recent,expected_return_recent,exp_win_away_nn,exp_win_home_nn,exp_value_away_nn,exp_value_home_nn,bet_nn,return_nn,expected_return_nn,game_time,N,home_point_spread,home_odds_spread,away_point_spread,away_odds_spread
0,01-24-2022,Boston College,450,Wake Forest,-600,2021-22,0.11134784187013362,0.8886350446956264,-0.3876,0.0367,2,3.67,0.6117,0.1347,1.0,,,,,,,,,,,,,,,,,,,,
1,01-24-2022,Belmont,-8000,Eastern Illinois,1800,2021-22,0.9961588388670981,0.003911471057457835,0.0086,-0.9257,1,0.86,0.0107,0.0074,1.0,,,,,,,,,,,,,,,,,,,,
2,01-24-2022,Florida,-200,Ole Miss,175,2021-22,0.543546320472546,0.451541756067933,-0.1847,0.2417,2,24.17,42.2975,5.8419,0.0,,,,,,,,,,,,,,,,,,,,
3,01-24-2022,UNC Wilmington,125,Northeastern,-145,2021-22,0.18257114377151248,0.8188961690246298,-0.5892,0.3837,1,38.37,-38.37,14.7226,0.0,,,,,,,,,,,,,,,,,,,,
4,01-24-2022,Towson,105,Delaware,-125,2021-22,0.5776473774142653,0.4253192992318901,0.1842,-0.2344,1,18.42,19.340999999999998,3.3930000000000002,1.0,,,,,,,,,,,,,,,,,,,,
5,01-24-2022,Tennessee State,650,Morehead State,-1000,2021-22,0.07939300352372076,0.9237534619775021,-0.4046,0.0161,2,1.61,0.161,0.0259,1.0,,,,,,,,,,,,,,,,,,,,
6,01-24-2022,Louisville,180,Virginia,-210,2021-22,0.27827970724690154,0.7271349665309598,-0.2208,0.0734,2,7.34,3.4952,0.5388,1.0,,,,,,,,,,,,,,,,,,,,
7,01-24-2022,Saint Joseph's,250,George Mason,-300,2021-22,0.19165982609623985,0.8152708490807161,-0.3292,0.087,2,8.7,2.9,0.7569,1.0,,,,,,,,,,,,,,,,,,,,
8,01-24-2022,Virginia Tech,175,North Carolina,-200,2021-22,0.3608424998652397,0.6478136939871834,-0.0077,-0.0283,2,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,
9,01-24-2022,Tennessee Tech,1200,Murray State,-3000,2021-22,0.049170064337773885,0.952114491001703,-0.3608,-0.0161,2,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,
10,01-24-2022,SIU Edwardsville,-105,UT Martin,-115,2021-22,0.3861092882374454,0.6273782598857834,-0.2462,0.1729,2,17.29,15.0348,2.9894,1.0,,,,,,,,,,,,,,,,,,,,
11,01-24-2022,Sacramento State,130,Northern Arizona,-150,2021-22,0.558558566412525,0.4429078751932789,0.2847,-0.2618,2,28.47,-28.47,8.1054,0.0,,,,,,,,,,,,,,,,,,,,
12,01-24-2022,San Diego,340,Santa Clara,-420,2021-22,0.045283213375251936,0.9538664009175272,-0.8008,0.181,2,18.1,4.3095,3.2761,1.0,,,,,,,,,,,,,,,,,,,,
13,01-24-2022,Weber State,130,Southern Utah,-150,2021-22,0.4871710129396232,0.5232909865227795,0.1205,-0.1278,1,12.05,15.665,1.452,0.0,,,,,,,,,,,,,,,,,,,,
14,01-24-2022,Texas Tech,250,Kansas,-300,2021-22,0.1887340697847292,0.8143300349057322,-0.3394,0.0858,2,8.58,2.86,0.7362,1.0,,,,,,,,,,,,,,,,,,,,
15,01-24-2022,St. John's,260,Seton Hall,-310,2021-22,0.1502483212618878,0.8469842114221378,-0.4591,0.1202,1,12.02,-12.02,1.4448,0.0,,,,,,,,,,,,,,,,,,,,
16,01-24-2022,Eastern Washington,-240,Idaho State,200,2021-22,0.8673097944479808,0.13157681084465273,0.2287,-0.6053,1,22.87,9.5292,5.2304,1.0,,,,,,,,,,,,,,,,,,,,
17,01-24-2022,UNLV,450,San Diego State,-600,2021-22,0.1146464128860994,0.8862472976327295,-0.3694,0.034,2,3.4,0.5667,0.1156,1.0,,,,,,,,,,,,,,,,,,,,
18,01-24-2022,Idaho,300,Portland State,-360,2021-22,0.4053867772138213,0.5900265893497331,0.6215,-0.2461,1,62.15,186.45,38.6262,0.0,,,,,,,,,,,,,,,,,,,,
19,01-24-2022,Arizona State,600,USC,-900,2021-22,0.030931788214633105,0.9702810112246258,-0.7835,0.0781,2,7.81,0.8678,0.61,1.0,,,,,,,,,,,,,,,,,,,,
20,01-24-2022,South Dakota,220,Western Illinois,-260,2021-22,0.20412662807283305,0.7953225596470502,-0.3468,0.1012,1,10.12,-10.12,1.0241,0.0,,,,,,,,,,,,,,,,,,,,
21,01-24-2022,Jacksonville,145,Kennesaw State,-165,2021-22,0.5124796038443918,0.484164851389933,0.2556,-0.2224,2,25.56,-25.56,6.5331,0.0,,,,,,,,,,,,,,,,,,,,
22,01-24-2022,Winthrop,-180,High Point,150,2021-22,0.5311457770825532,0.4914089193350328,-0.1738,0.2285,2,22.85,34.275,5.2212,0.0,,,,,,,,,,,,,,,,,,,,
23,01-24-2022,Longwood,-330,Hampton,255,2021-22,0.8240185211138812,0.18344953434905373,0.0737,-0.3488,1,7.37,2.2333,0.5432,1.0,,,,,,,,,,,,,,,,,,,,
24,01-24-2022,New Hampshire,-500,Maine,400,2021-22,0.9400217744116954,0.05840778796210778,0.128,-0.708,2,12.8,-12.8,1.6384,0.0,,,,,,,,,,,,,,,,,,,,
25,01-24-2022,Lafayette,-105,American University,-115,2021-22,0.0,0.0,-1.0,-1.0,2,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
26,01-24-2022,Morgan State,265,Norfolk State,-350,2021-22,0.06528191702801893,0.9375326224195036,-0.7617,0.2054,2,20.54,5.8686,4.2189,1.0,,,,,,,,,,,,,,,,,,,,
27,01-24-2022,Alcorn State,-145,Bethune-Cookman,125,2021-22,0.5640269763494782,0.4253915420516475,-0.047,-0.0429,1,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,
28,01-24-2022,South Carolina State,-400,Delaware State,310,2021-22,0.8397328046370013,0.15860683499295594,0.0497,-0.3497,1,4.97,1.2425,0.247,1.0,,,,,,,,,,,,,,,,,,,,
29,01-24-2022,Jackson State,-105,Florida A&M,-115,2021-22,0.35512415557875104,0.6487303118265207,-0.3067,0.2128,2,21.28,18.5043,4.5284,1.0,,,,,,,,,,,,,,,,,,,,
30,01-24-2022,Howard,-140,Coppin State,120,2021-22,0.5928036914820219,0.4057672488849272,0.0162,-0.1073,2,1.62,-1.62,0.0262,0.0,,,,,,,,,,,,,,,,,,,,
31,01-24-2022,Hartford,-180,Binghamton,150,2021-22,0.22695969338219765,0.7737374818207746,-0.647,0.9343,2,93.43,140.145,87.2916,1.0,,,,,,,,,,,,,,,,,,,,
32,01-24-2022,Mississippi Valley State,1400,Southern,-4000,2021-22,0.0214702324952434,0.9791433307417884,-0.6779,0.0036,2,0.36,0.009000000000000001,0.0013,1.0,,,,,,,,,,,,,,,,,,,,
33,01-24-2022,Alabama A&M,220,Prairie View A&M,-260,2021-22,0.4708674166023855,0.5079544487973959,0.5068,-0.2967,2,50.68,-50.68,25.6846,1.0,,,,,,,,,,,,,,,,,,,,
34,01-24-2022,Alabama State,475,Texas Southern,-650,2021-22,0.2095732002864036,0.7919889629917986,0.205,-0.0862,2,20.5,-20.5,4.2025,1.0,,,,,,,,,,,,,,,,,,,,
35,01-25-2022,DePaul,1200,Villanova,-3000,2021-22,0.06440679973902359,0.9351793593404548,-0.1627,-0.0336,2,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,
36,01-25-2022,Richmond,-120,Rhode Island,100,2021-22,0.2938649477431564,0.7034848383649559,-0.4612,0.407,1,40.7,-40.7,16.564899999999998,0.0,,,,,,,,,,,,,,,,,,,,
37,01-25-2022,Alabama,-1400,Georgia,800,2021-22,0.8594170619682752,0.14307200672247666,-0.0792,0.2876,2,28.76,230.08,8.271376000000002,0.0,,,,,,,,,,,,,,,,,,,,
38,01-25-2022,Western Michigan,500,Kent State,-700,2021-22,0.035707701742489266,0.9636542271982128,-0.7858,0.1013,2,10.13,1.4471428571428573,1.026169,1.0,,,,,,,,,,,,,,,,,,,,
39,01-25-2022,Akron,-900,Central Michigan,600,2021-22,0.9247916420287604,0.07743285890371479,0.0275,-0.458,1,2.75,0.3055555555555556,0.075625,1.0,,,,,,,,,,,,,,,,,,,,
40,01-25-2022,Northern Illinois,1400,Ohio,-4000,2021-22,0.008893847919220757,0.9914754352592312,-0.8666,0.0163,2,1.63,0.04075,0.026568999999999995,1.0,,,,,,,,,,,,,,,,,,,,
41,01-25-2022,Eastern Michigan,300,Bowling Green,-360,2021-22,0.2490035364951885,0.7466827146682692,-0.004,-0.0459,2,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,
