"","conference","hoopr","FGM_off","FGA_off","3PTM_off","3PTA_off","FTM_off","FTA_off","OREB_off","DREB_off","REB_off","AST_off","STL_off","BLK_off","TO_off","PF_off","PTS_off","result_off","FGM_def","FGA_def","3PTM_def","3PTA_def","FTM_def","FTA_def","OREB_def","DREB_def","REB_def","AST_def","STL_def","BLK_def","TO_def","PF_def","PTS_def","result_def","year","Team","Conference","power_conf"
"1","Southland","Texas A&M-CC",-0.0284046942800584,-9.36555014988933e-05,-0.0237971837004679,-0.0477926403000294,0.0324238762404868,0.0341885780147235,0.0281570570307525,-0.0201247929104095,0.00803226412034299,-0.00772068777795494,0.0148572297256307,-0.0217816049859033,0.013207738205773,0.0505534462169934,-0.0482444623137372,0.225806451612903,0.0461771648212798,0.066349314042286,-0.00387723018483358,-0.0269241785605033,-0.0620798510588585,-0.0639171484413219,0.00537842141864584,0.004500289996394,0.00987871141503984,0.00773375717548489,0.00529981730308638,-0.014744579888922,-0.0328473473094585,-0.0321075224493364,0.0263972483988674,0.225806451612903,"2021-22","Texas A&M-CC","Southland",FALSE
"2","WAC","Abilene Christian",-0.00730005107252861,-0.00531371117509165,-0.00740866110543845,-0.0203947740129829,0.0409471615014224,0.0406496475839679,-0.00768124876538123,-0.068429108495524,-0.0761103572609052,0.00550917186430058,0.0470893563324427,-0.0243427338371573,-0.0202533825272355,0.0495737217705271,0.0188785621539634,0.59375,0.0455717040949648,0.134698015494747,0.00452657532743655,0.0293259902273436,-0.0561715029841888,-0.0712525709991592,0.0219923733410772,0.000345977852112152,0.0223383511931893,0.0272645144501854,0.0218547527681743,-0.00987435060550355,-0.0813545109140395,-0.037683816741995,0.0395565995236737,0.59375,"2021-22","Abilene Christian","WAC",FALSE
"3","MWC","Air Force",-0.0254149384605722,-0.0503669679638643,0.00723896507050725,0.0248659353665548,-0.0463915454555436,-0.0457399395390098,-0.0396421961665083,-0.0449606899941414,-0.0846028861606498,0.0130162267632129,-0.00206418562094738,0.0022394111373677,0.0308503451945203,0.0241848151350167,-0.0900185747398493,0.586206896551724,0.000988215484376341,0.0412357676125387,0.0224548537382314,0.0467721007359793,-0.0490927172350385,-0.0485648396863988,-0.00167057802155494,-0.0147850465697312,-0.0164556245912861,0.0115655604620965,0.00716452632902146,-0.0082299168122552,-0.0215378161720781,-0.0174844721886087,-0.0246614325280544,0.607142857142857,"2021-22","Air Force","MWC",FALSE
"4","MAC","Akron",-0.00272030961972834,-0.0218772683620306,0.0107495567673614,0.0156986531463054,0.0315307623789386,0.0537760405676892,0.000706181865654823,0.0186377999513216,0.0193439818169764,-0.00601652924438021,-0.00509350390096599,0.000201627173379064,-0.00107800762209781,0.00715685177521706,0.0368396999068433,0.4375,0.00171210016026699,-0.010646933481437,0.00416992851676483,0.0236689169461864,0.0234584504099612,0.0284816860314228,0.0040453015914892,0.00879923255655885,0.012844534148048,0.028439271411756,0.00695244357060679,0.00845655097076279,0.00216029321910016,-0.0479527738700974,0.0310525792472601,0.4375,"2021-22","Akron","MAC",FALSE
"5","SEC","Alabama",0.0288574133825181,0.0256644715727593,0.0239524927987825,0.0861017005529686,0.0262817908760329,0.0311920445529561,0.0382436080722837,0.0116547981457011,0.0498984062179848,0.0177042855369091,-0.000361919402203304,0.0169764829468407,-0.00114536310377634,0.00174259327453695,0.107949110439852,0.848484848484849,0.0121772260562598,0.000224104325253514,0.00116292307911768,0.0072768482346439,-0.00582841659764244,-0.0121353445631063,-0.00256056356574262,0.0348915313361073,0.0323309677703647,0.033544322034905,0.00450288224009876,0.00803155128196815,0.00255488371677062,-0.0113578223650365,0.0196889585939949,0.84375,"2021-22","Alabama","SEC",TRUE
"6","SWAC","Alabama A&M",-0.0473267465287241,0.00914609380598027,-0.0459821468316922,-0.0906689306263545,-0.00639185002926816,-0.0111289714596987,0.00657240726860153,0.0151922403907789,0.0217646476593804,-0.0534702693210525,0.00211858544761366,-0.00525773798412178,0.00232306090488871,-0.00532509368912232,-0.147027489918409,0.266666666666667,0.00881529506344551,-0.0321585897835909,-0.0136440621133958,-0.0512351699799086,0.0125876493147387,0.0120593183836069,-0.0307503864844431,-0.051875361438705,-0.0826257479231482,-0.0229643605501727,-0.00425933444378306,0.00285854595816515,-0.00389789678963925,0.00659306545824428,0.0166038417641349,0.266666666666667,"2021-22","Alabama A&M","SWAC",FALSE
"7","SWAC","Alabama State",-0.0228891348816048,-0.0213937453008529,-0.0125652159248096,-0.0350358852055409,0.00574819988667052,0.00732827784616333,-0.00332222908150665,-0.0403586730941215,-0.0436809021756281,-0.0225450074384714,0.00413462343060793,-0.000896004347411186,0.0148470739670344,0.00360463611528556,-0.0526129012352874,0.366666666666667,-0.0177724647921924,-0.0097361293089433,-0.0138655307690396,-0.0341696215135522,-0.0248841396182316,-0.0229092579184624,-0.0206997309033144,-0.00257277803899115,-0.0232725089423056,-0.0279989610828296,-0.0015085927421947,-0.00917802497514371,-0.000883528110247685,0.00568187382265643,-0.0742649355357549,0.366666666666667,"2021-22","Alabama State","SWAC",FALSE
"8","Am. East","Albany",-0.0269798863601044,0.00116606976123789,-0.0224067078471998,-0.0482982363945971,-0.0220342087061362,-0.028557047191753,-0.000152434716738181,-0.0294567712577494,-0.0296092059744876,-0.0408790770053987,0.00942307549423343,-0.00946062648028895,0.0112465962863953,0.0404770952171315,-0.0974482838185396,0.483870967741935,0.020884611485052,0.0469540691260644,0.0040926620692911,0.0208763547022961,-0.0209930262593194,-0.0242407447674321,0.00529366626218279,-0.0163975892251781,-0.0111039229629953,-0.00550500609778817,0.0122076613574652,-0.0206129623873865,-0.0309944751662115,0.00325085381604894,0.0249422893844829,0.483870967741935,"2021-22","Albany","Am. East",FALSE
"9","SWAC","Alcorn State",-0.00983259350037624,0.0143447547576688,-0.020837906075041,-0.0532247232525274,-0.00939947035113108,-0.0115838811866131,0.0154184633297448,-0.019489313915048,-0.00407085058530323,-0.0360444209285459,0.00688584308201495,-0.0107582796879992,0.0061706162941857,0.0110498682463716,-0.0499025634269246,0.441176470588235,-0.00826377462554559,0.0248791830283615,-0.00581755893197957,-0.00390936989185771,-0.0247036650329255,-0.0311087547240247,0.0130874419078727,-0.00821745713379031,0.0048699847740824,-0.0275103762977105,0.00243883015044121,-0.0100421291073139,0.00189611095808212,0.00471804123073759,-0.0470214231028214,0.441176470588235,"2021-22","Alcorn State","SWAC",FALSE
"10","Patriot","American University",-0.014085101181858,-0.0327343877392727,-0.0349753890764633,-0.0840571855221554,-0.0193470956996469,-0.0235015734211239,-0.0175537487007417,-0.028545437563203,-0.0460991862639448,-0.0137770849596842,-0.00101616348547523,-0.00365372198101064,0.0255213313438255,-0.0112951351385903,-0.0824926871398262,0.375,-0.0407297924039451,-0.00536098560980247,0.00507860082143714,0.0196744050663199,0.00260414297634684,-0.000967339656735576,0.00687494838289845,0.00219002508962422,0.00906497347252267,-0.0237302239476742,-0.0117038977007742,-0.00317609674843727,0.0126615634416646,0.0164779502435648,-0.0737437840331007,0.4,"2021-22","American University","Patriot",FALSE
