Team,Conference,value
Texas A&M-CC,Southland,0.4008
Abilene Christian,WAC,0.6528
Air Force,MWC,0.179
Akron,MAC,0.6992
Alabama,SEC,0.8773
Alabama A&M,SWAC,0.1747
Alabama State,SWAC,0.1737
Albany,Am. East,0.2706
Alcorn State,SWAC,0.2128
American University,Patriot,0.1265
Appalachian State,Sunbelt,0.601
Arizona,Pac 12,0.9704
Arizona State,Pac 12,0.6706
Arkansas-Pine Bluff,SWAC,0.0546
Arkansas,SEC,0.9187
Arkansas State,Sunbelt,0.5202
Army,Patriot,0.3161
Auburn,SEC,0.944
Austin Peay,OVC,0.1925
Ball State,MAC,0.3184
Baylor,Big 12,0.9594
Bellarmine,A-Sun,0.4504
Belmont,OVC,0.8388
Bethune-Cookman,SWAC,0.0992
Binghamton,Am. East,0.262
Boise State,MWC,0.8421
Boston College,ACC,0.5801
Boston University,Patriot,0.49370000000000003
Bowling Green,MAC,0.2874
Bradley,MVC,0.7532
Brown,Ivy,0.4371
Bryant,NEC,0.5304
Bucknell,Patriot,0.1523
Buffalo,MAC,0.6608
Butler,Big East,0.5505
BYU,WCC,0.7855
Cal Poly,Big West,0.1956
CSU Fullerton,Big West,0.5867
California,Pac 12,0.5433
California Baptist,WAC,0.4234
Campbell,Big South,0.491
Canisius,MAAC,0.318
Central Arkansas,A-Sun,0.1369
Central Connecticut,NEC,0.1103
Central Michigan,MAC,0.1324
Charleston Southern,Big South,0.0876
Charlotte,C-USA,0.4818
Chattanooga,Southern,0.8231
Chicago State,WAC,0.0889
Cincinnati,AAC,0.6818
Clemson,ACC,0.7966
Cleveland State,Horizon,0.6443
Coastal Carolina,Sunbelt,0.6746
Charleston,CAA,0.541
Colgate,Patriot,0.7119
Colorado,Pac 12,0.8064
Colorado State,MWC,0.8287
Columbia,Ivy,0.0855
Coppin State,MEAC,0.266
Cornell,Ivy,0.479
Creighton,Big East,0.8128
CSU Bakersfield,Big West,0.2394
CSU Northridge,Big West,0.14
Dartmouth,Ivy,0.3754
Davidson,A-10,0.8302
Dayton,A-10,0.8489
Delaware,CAA,0.6517
Delaware State,MEAC,0.0671
Denver,Summit,0.249
DePaul,Big East,0.7103
Detroit Mercy,Horizon,0.3677
Dixie State,WAC,0.2735
Drake,MVC,0.7682
Drexel,CAA,0.5456
Duke,ACC,0.9682
Duquesne,A-10,0.2289
East Carolina,AAC,0.4175
Eastern Illinois,OVC,0.0346
Eastern Kentucky,A-Sun,0.3424
Eastern Michigan,MAC,0.1905
Eastern Washington,Big Sky,0.4275
Elon,CAA,0.2043
East Tennessee State,Southern,0.4517
Evansville,MVC,0.1229
Fairfield,MAAC,0.4732
Fairleigh Dickinson,NEC,0.0833
Florida Gulf Coast,A-Sun,0.5508
Florida International,C-USA,0.2828
Florida Atlantic,C-USA,0.6664
Florida,SEC,0.8351
Florida A&M,SWAC,0.1614
